return_period_yr,peak_swl_m,inundated_area_ha,max_depth_m,damage_usd,damage_pct_of_exposure,mass_balance_pct_error
1.5,2.077,167.9,4.277,0,0.00,-0.000000
2,2.138,167.9,4.338,0,0.00,-0.000000
3,2.205,170.8,4.405,0,0.00,-0.000000
5,2.274,170.8,4.474,0,0.00,-0.000000
10,2.353,170.8,4.554,34830,0.51,-0.000000
15,2.395,173.7,4.595,61393,0.89,0.000000
25,2.443,177.6,4.643,102222,1.49,0.000000
50,2.503,177.6,4.703,154721,2.25,0.000000
100,2.557,177.6,4.757,213749,3.11,0.000000
200,2.606,185.2,4.806,313699,4.56,-0.000000
350,2.642,197.2,4.842,382245,5.56,-0.000000
500,2.664,204.3,4.864,429617,6.24,-0.000000
