return_period_yr,asset,segment,length_m,value_usd,peak_depth_m,duration_h,damage_ratio,damage_usd
1.5,A - Coastal Highway,A01,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A02,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A03,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A04,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A05,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A06,100,240000,0.000,15.00,0.0000,0
1.5,A - Coastal Highway,A07,100,240000,0.000,15.00,0.0000,0
1.5,A - Coastal Highway,A08,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A09,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A10,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A11,100,240000,0.000,0.00,0.0000,0
1.5,A - Coastal Highway,A12,100,240000,0.000,0.00,0.0000,0
1.5,B - Access Causeway,B01,100,320000,0.000,0.00,0.0000,0
1.5,B - Access Causeway,B02,100,320000,0.000,0.00,0.0000,0
1.5,B - Access Causeway,B03,100,320000,0.000,0.00,0.0000,0
1.5,B - Access Causeway,B04,100,320000,0.000,0.00,0.0000,0
1.5,B - Access Causeway,B05,100,320000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C01,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C02,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C03,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C04,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C05,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C06,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C07,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C08,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C09,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C10,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C11,100,200000,0.000,0.00,0.0000,0
1.5,C - Inland Arterial,C12,100,200000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A01,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A02,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A03,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A04,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A05,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A06,100,240000,0.000,15.04,0.0000,0
2,A - Coastal Highway,A07,100,240000,0.000,15.04,0.0000,0
2,A - Coastal Highway,A08,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A09,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A10,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A11,100,240000,0.000,0.00,0.0000,0
2,A - Coastal Highway,A12,100,240000,0.000,0.00,0.0000,0
2,B - Access Causeway,B01,100,320000,0.039,0.00,0.0000,0
2,B - Access Causeway,B02,100,320000,0.040,0.00,0.0000,0
2,B - Access Causeway,B03,100,320000,0.040,0.00,0.0000,0
2,B - Access Causeway,B04,100,320000,0.040,0.00,0.0000,0
2,B - Access Causeway,B05,100,320000,0.040,0.00,0.0000,0
2,C - Inland Arterial,C01,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C02,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C03,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C04,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C05,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C06,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C07,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C08,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C09,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C10,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C11,100,200000,0.000,0.00,0.0000,0
2,C - Inland Arterial,C12,100,200000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A01,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A02,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A03,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A04,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A05,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A06,100,240000,0.000,15.07,0.0000,0
3,A - Coastal Highway,A07,100,240000,0.000,15.07,0.0000,0
3,A - Coastal Highway,A08,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A09,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A10,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A11,100,240000,0.000,0.00,0.0000,0
3,A - Coastal Highway,A12,100,240000,0.000,0.00,0.0000,0
3,B - Access Causeway,B01,100,320000,0.106,0.96,0.0000,0
3,B - Access Causeway,B02,100,320000,0.106,0.95,0.0000,0
3,B - Access Causeway,B03,100,320000,0.107,0.96,0.0000,0
3,B - Access Causeway,B04,100,320000,0.107,0.96,0.0000,0
3,B - Access Causeway,B05,100,320000,0.107,0.96,0.0000,0
3,C - Inland Arterial,C01,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C02,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C03,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C04,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C05,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C06,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C07,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C08,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C09,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C10,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C11,100,200000,0.000,0.00,0.0000,0
3,C - Inland Arterial,C12,100,200000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A01,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A02,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A03,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A04,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A05,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A06,100,240000,0.000,15.11,0.0000,0
5,A - Coastal Highway,A07,100,240000,0.000,15.11,0.0000,0
5,A - Coastal Highway,A08,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A09,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A10,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A11,100,240000,0.000,0.00,0.0000,0
5,A - Coastal Highway,A12,100,240000,0.000,0.00,0.0000,0
5,B - Access Causeway,B01,100,320000,0.175,1.43,0.0000,0
5,B - Access Causeway,B02,100,320000,0.175,1.42,0.0000,0
5,B - Access Causeway,B03,100,320000,0.175,1.43,0.0000,0
5,B - Access Causeway,B04,100,320000,0.176,1.43,0.0000,0
5,B - Access Causeway,B05,100,320000,0.176,1.43,0.0000,0
5,C - Inland Arterial,C01,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C02,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C03,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C04,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C05,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C06,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C07,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C08,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C09,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C10,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C11,100,200000,0.000,0.00,0.0000,0
5,C - Inland Arterial,C12,100,200000,0.000,0.00,0.0000,0
10,A - Coastal Highway,A01,100,240000,0.006,0.00,0.0000,0
10,A - Coastal Highway,A02,100,240000,0.006,0.00,0.0000,0
10,A - Coastal Highway,A03,100,240000,0.006,0.00,0.0000,0
10,A - Coastal Highway,A04,100,240000,0.005,0.00,0.0000,0
10,A - Coastal Highway,A05,100,240000,0.005,0.00,0.0000,0
10,A - Coastal Highway,A06,100,240000,0.009,15.14,0.0000,0
10,A - Coastal Highway,A07,100,240000,0.009,15.14,0.0000,0
10,A - Coastal Highway,A08,100,240000,0.005,0.00,0.0000,0
10,A - Coastal Highway,A09,100,240000,0.005,0.00,0.0000,0
10,A - Coastal Highway,A10,100,240000,0.006,0.00,0.0000,0
10,A - Coastal Highway,A11,100,240000,0.006,0.00,0.0000,0
10,A - Coastal Highway,A12,100,240000,0.006,0.00,0.0000,0
10,B - Access Causeway,B01,100,320000,0.254,1.83,0.0216,6924
10,B - Access Causeway,B02,100,320000,0.254,1.82,0.0217,6953
10,B - Access Causeway,B03,100,320000,0.254,1.82,0.0218,6974
